3733,337
4583,334
5416,66
6299,984
6499,982
6699,98
7149,976
8016,634
8866,646
9733,329
9950
10150
10583,35
11450,03
11666,7
12300,05
12500,05
13166,73
13366,73
13566,74
14016,75
14216,75
14866,76
15083,43
15733,45
15933,45
16600,12
16800,11
17016,77
19200,02
19383,34
20033,32
20249,97
20449,97
22616,55
22799,88
23483,18
23683,17
23899,83
25183,12
25383,11
25616,43
26883,05
27099,71
27333,03
30332,91
30549,57
30749,56
32416,17
34816,31
36749,8
38483,27
40166,73
41050,13
41866,86
42716,93
43567
43800,35
44450,4
44650,41
45350,47
45550,48
46167,2
46367,21
46600,57
46817,25
47017,27
47850,66
48667,39
48750,73
49484,13
49600,8
50367,53
50467,54
54701,2
54801,21
55001,22
55217,91
55534,6
55651,27
55867,96
56067,97
56418
56518,01
56734,69
56951,38
57268,07
57384,74
57618,09
57818,11
58234,81
58601,5
59051,54
59268,22
59468,24
59901,61
60318,3
60751,67
61001,69
61201,71
61618,41
62068,44
62485,14
62701,82
62901,84
63335,21
63785,24
64201,94
64418,63
64635,31
65052,01
65485,38
65818,67
65918,66
66368,59
66768,52
67201,79
67535,07
67651,72
68034,99
68518,25
69351,45
70234,65
71084,52
71301,15
71501,11
